Name,Price
Sticker | fer (Foil) | London 2018,1099
StatTrak™ P250 | Hive (Field-Tested),1098
USP-S | Stainless (Well-Worn),1098
"StatTrak™ Music Kit | Neck Deep, The Lowlife Pack",1098
Sticker | interz (Gold) | Rio 2022,1098
Dual Berettas | Marina (Minimal Wear),1097
Antwerp 2022 Dust II Souvenir Package,1096
Zeus x27 | Olympus (Field-Tested),1096
P2000 | Woodsman (Field-Tested),1095
Sticker | Entropiq (Gold) | Stockholm 2021,1095
Rio 2022 Inferno Souvenir Package,1094
M249 | Nebula Crusader (Factory New),1093
StatTrak™ P250 | Visions (Well-Worn),1093
Sticker | Entropiq (Holo) | Stockholm 2021,1092
Sticker | Heroic (Gold) | Stockholm 2021,1091
Katowice 2019 Legends Autograph Capsule,1090
StatTrak™ AWP | Duality (Well-Worn),1090
StatTrak™ MAC-10 | Malachite (Well-Worn),1089
StatTrak™ FAMAS | Sergeant (Battle-Scarred),1088
StatTrak™ MP7 | Special Delivery (Minimal Wear),1088
Sticker | BnTeT (Foil) | London 2018,1087
M4A1-S | Briefing (Minimal Wear),1086
StatTrak™ Five-SeveN | Urban Hazard (Factory New),1085
Souvenir MP5-SD | Oxide Oasis (Field-Tested),1085
Sticker | FaZe (Gold) | 2020 RMR,1084
Sticker | NiKo (Holo) | Stockholm 2021,1084
Sustenance! Pin,1083
Sticker | Imperial Esports (Holo) | Antwerp 2022,1083
Glock-18 | Wasteland Rebel (Well-Worn),1082
Enforcer | Phoenix,1082
Glock-18 | Snack Attack (Battle-Scarred),1082
AWP | Black Nile (Factory New),1082
Five-SeveN | Hot Shot (Minimal Wear),1081
Tec-9 | Titanium Bit (Factory New),1081
Sticker | FaZe Clan (Gold) | Rio 2022,1081
M4A1-S | Leaded Glass (Well-Worn),1079
Vortigaunt Pin,1079
Sticker | electronic | Krakow 2017,1078
PP-Bizon | Embargo (Factory New),1078
StatTrak™ Glock-18 | Vogue (Well-Worn),1078
R8 Revolver | Night (Factory New),1077
Tec-9 | Remote Control (Factory New),1076
"StatTrak™ Music Kit | The Verkkars, EZ4ENCE",1076
StatTrak™ Desert Eagle | Serpent Strike (Factory New),1076
G3SG1 | Orange Kimono (Factory New),1075
StatTrak™ M4A4 | Evil Daimyo (Well-Worn),1074
Sticker | EliGE (Foil) | Katowice 2019,1073
AK-47 | Slate (Minimal Wear),1071
MP9 | Shredded (Factory New),1071
StatTrak™ USP-S | Cortex (Battle-Scarred),1070
Sticker | electronic (Foil) | London 2018,1070
MP7 | Impire (Factory New),1069
M4A4 | Neo-Noir (Battle-Scarred),1068
